tmc_name,tmc_article,web_code,tmc_price
Оперативная память DDR3 SODIMM 8GB/1600MHz PC-12800 Zeppelin (Z 8G/1600/5128 SO),Z 8G/1600/5128 SO,218 819,"10 588,10"
Тонер блок,Тонер блок,35 963,"10 714,29"
"Протяжка из полиэстера PET-1-4,0/20К","PET-1-4,0/20К",270 434,"11 569,64"
"Блок питания 500W 1STPLAYER DK ATX 80 PLUS Bronze 2x6+2pin, 4+4pin (PS-500AX)",PS-500AX,244 877,"11 607,86"
Оптический патчкорд LC/UPC-LC/UPC MM (50/125) 2mm (OM4) duplex 45m,duplex 45m,272 158,"12 142,86"
"Внутренний SSD 2.5"" 7мм 240GB Kingston A400, SATA-III TLC (SA400S37/240G)",SA400S37/240G,62 600,"12 199,26"
"Внутренний SSD 2.5"" 7мм 480GB Kingston A400, SATA-III TLC (SA400S37/480G)",SA400S37/480G,57 712,"12 291,88"
Картридж Canon PGI-2400XL Cyan (Для iB4040/4140/ MB5040/5340/5440) (9274B001),9274B001,215 018,"12 777,38"
Картридж Canon PGI-2400XL Magenta (Для iB4040/4140/ MB5040/5340/5440) (9275B001),9275B001,215 019,"12 777,38"
Картридж Canon PGI-2400XL Yellow (Для iB4040/4140/ MB5040/5340/5440) (9276B001),9276B001,215 020,"12 777,65"
"Внутренний SSD 2.5"" 7мм 256GB Team Group GX2, SATA-III TLC (T253X2256G0C101)",T253X2256G0C101,171 421,"12 815,54"
Тонер-картридж Canon C-EXV51 Cyan (для IR C5535/40/50/60),C-EXV51 Cyan,51 766,"12 946,43"
"Комплект монтажных рельс Cyberpower для установки ИБП в 19"" стойки",Комплект монтажных рельс Cyberpower,216 922,"13 866,07"
Многофункциональный трассоискатель NF-811 LAN,NF-811 LAN,269 664,"14 285,72"
"Кейс Wintek Wisdom K165 MidTower, window, Black ATX (K165)",Wintek K165,216 143,"14 364,29"
"Конвертер UGREEN, USB 3.1(m) Type C на HDMI/LAN USB 3/0 HUB 2 port/Tupe C PD 100W (10919)",Конвертер UGREEN 10919,269 955,"15 178,57"
